OPEID,PELLID,Name,State,Type & Control,Recipients,Awards
2342400,23424,ACADEMY OF RADIO & TV BROADCASTING,CA,proprietary,81,"200,986"
3327400,33274,"ACUPUNCTURE AND INTEGRATIVE MEDICINE COLLEGE, BERKELE",CA,private 4 year,5,"11,405"
3019900,30199,ADELANTE CAREER INSTITUTE,CA,proprietary,136,"336,457"
3736300,37363,ADVANCE BEAUTY COLLEGE,CA,proprietary,292,"688,606"
3786300,37863,ADVANCED COLLEGE,CA,proprietary,149,"358,772"
3532400,35324,ADVANCED TRAINING ASSOCIATES,CA,proprietary,12,"35,294"
2258600,14046,ALAMEDA BEAUTY COLLEGE,CA,proprietary,78,"184,752"
2282300,14260,ALHAMBRA BEAUTY COLLEGE,CA,proprietary,206,"533,760"
111100,1111,ALLAN HANCOCK COLLEGE,CA,public 2 year,"1,367","3,233,530"
1111700,11117,ALLIANT INTERNATIONAL UNIVERSITY,CA,private 4 year,83,"240,464"
2106900,14801,AMERICAN ACADEMY OF DRAMATIC ARTS-WEST,CA,private 2 year,55,"178,025"
3969600,39696,AMERICAN AUTO INSTITUTE,CA,proprietary,86,"210,898"
1307400,13074,AMERICAN BEAUTY COLLEGE,CA,proprietary,93,"260,437"
2241800,15829,AMERICAN CAREER COLLEGE,CA,proprietary,"3,237","7,927,016"
3971300,39713,AMERICAN CAREER COLLEGE,CA,proprietary,410,"1,017,012"
3144400,31444,AMERICAN COLLEGE OF HEALTH PROFESSIONS,CA,proprietary,28,"86,775"
3138400,31384,AMERICAN COLLEGE OF MEDICAL TECHNOLOGY,CA,proprietary,365,"800,204"
2099200,14545,AMERICAN CONSERVATORY THEATER FOUNDATION,CA,private 4 year,4,"16,200"
3962300,39623,AMERICAN INSTITUTE OF MASSAGE THERAPY,CA,proprietary,12,"28,939"
274100,2741,AMERICAN JEWISH UNIVERSITY,CA,private 4 year,32,"91,050"
123200,1232,AMERICAN RIVER COLLEGE,CA,public 2 year,"6,704","15,151,081"
3225300,32253,AMERICAN UNIVERSITY OF HEALTH SCIENCES,CA,proprietary,47,"115,913"
111300,1113,ANTELOPE VALLEY COLLEGE,CA,public 2 year,"3,911","8,478,362"
3427500,34275,ANTELOPE VALLEY MEDICAL COLLEGE,CA,proprietary,606,"1,408,621"
111600,1116,ART CENTER COLLEGE OF DESIGN,CA,private 4 year,739,"2,207,474"
723600,7236,ART INSTITUTE OF CALIFORNIA - LOS ANGELES (THE),CA,proprietary,"2,862","7,106,448"
2327600,16471,ART INSTITUTE OF CALIFORNIA - SAN DIEGO,CA,proprietary,"1,208","2,867,789"
2595600,25956,ASIAN - AMERICAN INTERNATIONAL BEAUTY COLLEGE,CA,proprietary,147,"383,595"
902200,13988,ASSOCIATED TECHNICAL COLLEGE,CA,proprietary,640,"1,940,768"
2553500,17135,ASSOCIATED TECHNICAL COLLEGE,CA,proprietary,90,"241,358"
3740400,37404,ATI COLLEGE,CA,proprietary,123,"317,591"
2519800,16894,AVANCE BEAUTY COLLEGE,CA,proprietary,62,"161,606"
111700,1117,AZUSA PACIFIC UNIVERSITY,CA,private 4 year,957,"2,327,616"
111800,1118,BAKERSFIELD COLLEGE,CA,public 2 year,"7,646","17,074,546"
3067400,30674,BALDWIN PARK ADULT SCHOOL,CA,public 2 year,118,"199,570"
111900,1119,BARSTOW COMMUNITY COLLEGE,CA,public 2 year,"1,086","2,227,033"
705000,7050,BAY VISTA COLLEGE OF BEAUTY,CA,proprietary,138,"371,884"
3999300,39993,BEAUMONT ADULT SCHOOL,CA,public 2 year,32,"84,619"
2242700,14311,BERKELEY CITY COLLEGE,CA,public 2 year,"1,127","2,408,974"
112100,1121,BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD,CA,private 4 year,187,"466,873"
3266300,32663,BETHESDA CHRISTIAN UNIVERSITY,CA,private 4 year,26,"55,970"
112200,1122,BIOLA UNIVERSITY,CA,private 4 year,884,"2,096,489"
2180600,15384,BRIDGES  ACADEMY OF BEAUTY,CA,proprietary,8,"17,106"
2065500,13703,BROOKS COLLEGE,CA,proprietary,562,"1,408,168"
112300,1123,BROOKS INSTITUTE,CA,proprietary,842,"2,409,790"
2543400,17050,BROWNSON TECHNICAL SCHOOL,CA,proprietary,62,"151,281"
716400,7164,BRYAN COLLEGE,CA,proprietary,224,"502,437"
3399300,33993,BRYAN COLLEGE,CA,proprietary,228,"610,786"
807300,6972,BUTTE COLLEGE,CA,public 2 year,"3,996","9,493,606"
112400,1124,CABRILLO COLLEGE,CA,public 2 year,"2,186","4,651,099"
112500,1125,CALIFORNIA BAPTIST UNIVERSITY,CA,private 4 year,932,"2,224,052"
2065700,13828,CALIFORNIA BEAUTY COLLEGE,CA,proprietary,42,"116,982"
3467300,34673,CALIFORNIA BEAUTY COLLEGE,CA,proprietary,132,"316,480"
3974500,39745,CALIFORNIA CAREER COLLEGE,CA,proprietary,66,"167,295"
884400,14128,CALIFORNIA CHRISTIAN COLLEGE,CA,private 4 year,22,"62,405"
