OPEID,Name,State,Type & Control,Recips,Awards
7236,ART INSTITUTE OF CALIFORNIA - LOS ANGELES (THE),CA,Proprietary 4 Year,"4,509","16,631,972"
23276,ART INSTITUTE OF CALIFORNIA - SAN DIEGO,CA,Proprietary 4 Year,"2,674","10,307,247"
31254,ART INSTITUTE OF CALIFORNIA-HOLLYWOOD (THE),CA,Proprietary 4 Year,"1,418","5,148,078"
25956,ASIAN - AMERICAN INTERNATIONAL BEAUTY COLLEGE,CA,Proprietary 2 Year,106,"456,052"
25535,ASSOCIATED TECHNICAL COLLEGE,CA,Proprietary 2 Year,328,"1,201,452"
9022,ASSOCIATED TECHNICAL COLLEGE,CA,Proprietary 2 Year,"1,176","4,218,556"
37404,ATI COLLEGE,CA,Proprietary 2 Year,228,"1,155,633"
25198,AVANCE' BEAUTY COLLEGE,CA,Proprietary 2 Year,97,"399,583"
1117,AZUSA PACIFIC UNIVERSITY,CA,Private 4 Year,"1,301","4,784,061"
1118,BAKERSFIELD COLLEGE,CA,Public 2 Year,"9,165","27,928,689"
30674,BALDWIN PARK ADULT SCHOOL,CA,Public 2 Year,228,"717,503"
1119,BARSTOW COMMUNITY COLLEGE,CA,Public 2 Year,"2,593","7,173,845"
7050,BAY VISTA COLLEGE OF BEAUTY,CA,Proprietary 2 Year,227,"975,570"
39993,BEAUMONT ADULT SCHOOL,CA,Public 2 Year,71,"314,225"
23434,"BELLUS ACADEMY, THE ACADEMY OF BEAUTY AND SPA",CA,Proprietary 2 Year,249,"1,105,450"
22427,BERKELEY CITY COLLEGE,CA,Public 2 Year,"1,005","3,282,433"
1121,BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD,CA,Private 4 Year,196,"732,067"
32663,BETHESDA CHRISTIAN UNIVERSITY,CA,Private 4 Year,26,"94,358"
41482,BEYOND 21ST CENTURY BEAUTY ACADEMY,CA,Proprietary 2 Year,19,"58,944"
41330,BIOHEALTH COLLEGE,CA,Proprietary 2 Year,175,"672,867"
1122,BIOLA UNIVERSITY,CA,Private 4 Year,"1,184","4,349,761"
41372,BORNER'S BARBER COLLEGE,CA,Proprietary 2 Year,25,"96,593"
