OPEID,NAME,CITY,STATE,Type & Control,Recipients,Awards
2065300,PRESCOTT COLLEGE,PRESCOTT,AZ,Private 4 Year,443,"2,111,835"
4177500,PURE AESTHETICS,TUCSON,AZ,Proprietary 2 Year,4,"7,833"
1168900,REFRIGERATION SCHOOL,PHOENIX,AZ,Proprietary 2 Year,711,"2,755,096"
2177500,RIO SALADO COMMUNITY COLLEGE,TEMPE,AZ,Public 2 Year,"9,848","25,074,747"
2113800,ROBERTO-VENN SCH OF LUTHIERY,PHOENIX,AZ,Proprietary 2 Year,22,"80,287"
3005000,SAFFORD COLLEGE OF BEAUTY CULTURE,SAFFORD,AZ,Proprietary 2 Year,59,"385,701"
830400,SCOTTSDALE COMMUNITY COLLEGE,SCOTTSDALE,AZ,Public 2 Year,"2,604","9,002,931"
2146600,SOUTH MOUNTAIN COMMUNITY COLLEGE,PHOENIX,AZ,Public 2 Year,"2,621","9,304,934"
3593300,SOUTHWEST INSTITUTE OF HEALING ARTS,TEMPE,AZ,Proprietary 2 Year,423,"1,703,567"
711300,SOUTHWESTERN COLLEGE,PHOENIX,AZ,Private 4 Year,200,"784,964"
4152900,STUDIO ACADEMY OF BEAUTY (THE),CHANDLER,AZ,Proprietary 2 Year,141,"512,163"
2491500,THE ART CENTER DESIGN COLLEGE,TUCSON,AZ,Proprietary 4 Year,417,"1,883,791"
3784400,TOHONO O'ODHAM COMMUNITY COLLEGE,SELLS,AZ,Public 2 Year,70,"209,291"
446700,TUCSON COLLEGE,TUCSON,AZ,Proprietary 2 Year,645,"2,369,589"
4059300,TUCSON COLLEGE OF BEAUTY,TUCSON,AZ,Proprietary 2 Year,93,"361,816"
3814300,TURNING POINT BEAUTY COLLEGE,CASA GRANDE,AZ,Proprietary 2 Year,75,"370,731"
4139200,UNIVERSAL BARBER COLLEGE,PHOENIX,AZ,Proprietary 2 Year,64,"267,980"
822100,UNIVERSAL TECHNICAL INSTITUTE,AVONDALE,AZ,Proprietary 2 Year,"9,333","45,922,523"
2100500,UNIVERSAL TECHNICAL INSTITUTE,PHOENIX,AZ,Proprietary 2 Year,"8,357","41,381,153"
2559000,UNIVERSITY OF ADVANCING TECHNOLOGY,TEMPE,AZ,Proprietary 4 Year,525,"2,341,275"
108300,UNIVERSITY OF ARIZONA,TUCSON,AZ,Public 4 Year,"10,098","43,605,198"
