PELLID,Institution,City,State,Recipients,Awards
001290,Sierra College,Rocklin,CA,"2,327","3,392,755"
013233,Simi Valley Adult School & Career Institute,Simi Valley,CA,49,"96,303"
001291,Simpson College,Redding,CA,499,"955,994"
009509,Skills & Business Education Center,Sacramento,CA,785,"1,155,475"
007713,Skyline College,San Bruno,CA,705,"1,276,509"
001292,Solano Community College,Suisun City,CA,"1,086","1,781,584"
001156,Sonoma State University,Rohnert Park,CA,"1,672","3,195,775"
025973,South Baylo University,Anaheim,CA,46,"95,888"
033323,Southern California Bible College and Seminary,El Cajon,CA,44,"48,221"
001294,Southwestern College,Chula Vista,CA,"3,464","6,877,951"
001305,Stanford University,Stanford,CA,863,"1,752,913"
001309,Taft College,Taft,CA,259,"482,672"
014073,The Southern California Institute of Architecture,Los Angeles,CA,54,"118,921"
034033,Trinity Life Bible College,Sacramento,CA,18,"16,852"
001158,United States International Univ,San Diego,CA,194,"397,826"
001313,University of California - Davis,Davis,CA,"5,670","12,436,327"
001317,University of California - San Diego(UCSD),La Jolla,CA,"4,608","10,398,882"
001319,University of California - San Francisco,San Francisco,CA,9,"24,825"
001321,University of California - Santa Cruz,Santa Cruz,CA,"3,468","6,248,304"
001312,University of California (The) - Berkeley,Berkeley,CA,"7,000","15,434,301"
001320,University of California Santa Barbara,Santa Barbara,CA,"4,353","9,514,154"
001314,"UNIVERSITY OF CALIFORNIA, IRVINE",Irvine,CA,"5,406","12,403,150"
001315,"University of California, Los Angeles",Los Angeles,CA,"8,623","18,780,527"
001316,"University of California, Riverside",Riverside,CA,"4,489","10,109,160"
002741,University of Judaism,Los Angeles,CA,27,"57,651"
001216,University of La Verne,La Verne,CA,"1,179","1,948,039"
001322,University of Redlands,Redlands,CA,618,"1,298,302"
010395,University of San Diego,San Diego,CA,851,"1,711,600"
001325,University of San Francisco,San Francisco,CA,942,"1,922,354"
001328,University of Southern California,Los Angeles,CA,"4,253","8,846,898"
001329,University of the Pacific,Stockton,CA,"1,110","2,511,471"
009170,University of West Los Angeles,Inglewood,CA,20,"25,005"
001293,Vanguard University of Southern California,Costa Mesa,CA,397,"728,795"
030847,Ventura Adult Continuing Education,Ventura,CA,132,"198,564"
006863,Ventura County Community College District Office,Camarillo,CA,"3,293","6,218,755"
001335,Victor Valley Community College,Victorville,CA,"2,597","4,409,560"
014311,Vista Community College,Berkeley,CA,846,"1,251,545"
001176,West Hills Community College,Coalinga,CA,"1,414","2,246,831"
008596,West Los Angeles College,Culver City,CA,"1,167","2,061,796"
001338,West Valley College,Saratoga,CA,847,"1,557,162"
024827,Western University of Health Sciences,Pomona,CA,59,"143,357"
001341,Westmont College,Santa Barbara,CA,217,"451,657"
001342,Whittier College,Whittier,CA,449,"910,606"
001343,Woodbury University,Burbank,CA,469,"1,033,949"
015975,Yeshiva Ohr Elchonon Chabad-West Coast Talmudical Seminary,Los Angeles,CA,32,"88,850"
001344,Yuba College,Marysville,CA,"3,064","4,698,703"
001345,Adams State College,Alamosa,CO,928,"1,952,522"
007582,Aims Community College,Greeley,CO,840,"1,397,755"
001346,Arapahoe Community College,Littleton,CO,777,"1,160,128"
030131,Boulder College of Massage Therapy,Boulder,CO,60,"75,614"
009401,Colorado Christian University,Lakewood,CO,515,"844,067"
