PELLID,Institution,State,Recipients,Awards,
13914,Career Academy Of Beauty                                              ,CA,142,"178,304",
34274,Career Colleges Of America                                            ,CA,215,"486,744",
32423,Career Networks Institute                                             ,CA,83,"162,506",
6731,Casa Loma College                                                     ,CA,303,"616,822",
30445,Cei College -                                                         ,CA,439,"842,323",
16516,Center For Employment Training                                        ,CA,"1,324","2,674,553",
30977,Central California School Of Continuing Education                     ,CA,112,"273,485",
26023,Central Coast College                                                 ,CA,210,"300,214",
1161,Cerritos Community College                                            ,CA,"4,872","9,062,235",
1162,Chabot College                                                        ,CA,"1,877","3,469,575",
1163,Chaffey Community College                                             ,CA,"1,695","2,926,733",
1164,Chapman University                                                    ,CA,"1,341","2,409,913",
13653,Charles R. Drew University Of Medicine And Science                    ,CA,97,"223,292",
12031,Christian Heritage College                                            ,CA,265,"514,263",
1166,Citrus Community College                                              ,CA,"1,652","3,030,296",
1170,Claremont Mckenna College                                             ,CA,141,"323,089",
32783,Clarita Career College                                                ,CA,194,"383,464",
14919,Cleveland Chiropractic College                                        ,CA,47,"80,616",
16330,Clovis Adult Education                                                ,CA,162,"259,942",
31293,Coastal Valley College                                                ,CA,8,"19,747",
13536,Coastline Community College                                           ,CA,363,"679,403",
1177,Cogswell Polytechnical College                                        ,CA,69,"140,038",
9273,Coleman College - La Mesa                                             ,CA,622,"1,147,799",
15686,Colleen O'Hara'S Beauty Academy                                       ,CA,120,"258,348",
6720,College Of Alameda                                                    ,CA,820,"1,716,379",
1178,College Of Marin                                                      ,CA,936,"1,792,718",
1179,College Of Notre Dame                                                 ,CA,257,"573,650",
11696,College Of Oceaneering                                                ,CA,249,"429,345",
1181,College Of San Mateo                                                  ,CA,505,"1,069,004",
8903,College Of The Canyons                                                ,CA,688,"1,407,406",
1182,College Of The Desert                                                 ,CA,"1,913","3,642,540",
1185,College Of The Redwoods                                               ,CA,"1,924","3,754,497",
1186,College Of The Sequoias                                               ,CA,"3,417","6,566,096",
1187,College Of The Siskiyous                                              ,CA,691,"1,314,153",
7707,Columbia College                                                      ,CA,481,"933,122",
14697,Columbia College-Hollywood                                            ,CA,41,"79,844",
32503,Community Based Education And Development                             ,CA,58,"164,623",
1188,Compton Community College                                             ,CA,"1,424","2,953,616",
31131,Computer Education Institute -                                        ,CA,"2,904","6,240,034",
31096,Computer Training Academy                                             ,CA,338,"582,913",
34153,Computer Training Institute                                           ,CA,2,"2,275",
7607,Concorde Career Institute                                             ,CA,663,"1,199,987",
7930,Concorde Career Institute                                             ,CA,418,"552,749",
8071,Concorde Career Institute                                             ,CA,576,"1,153,028",
8537,Concorde Career Institute                                             ,CA,925,"1,662,340",
13885,Concordia University                                                  ,CA,233,"490,382",
1190,Contra Costa College                                                  ,CA,796,"1,645,337",
7536,Cosumnes River College                                                ,CA,"1,828","3,699,012",
9272,Crafton Hills College                                                 ,CA,913,"1,460,814",
1192,Cuesta College                                                        ,CA,"1,491","2,860,565",
